id;ref;author;title;description;duration
1;partenaire diplomate;conseil d’administration;lors de recta glouglou;après que;1805
2;présidence contrôler jeune;hormis sitôt que;grrr à peine;ouch grandement;11525
3;de manière à ce que à peine équipe de recherche;quand du côté de pourvu que;splendide équipe de recherche;grrr;17739
4;pff près psitt;pourvu que;selon bouger simple;chef de cuisine;2384
5;équipe de recherche;pin-pon premièrement lors;quoique euh ha ha;admirablement secours cyan;7538
6;si;inquiéter antagoniste debout;envers cyan;à peu près extra à l'égard de;15039
7;habile;lectorat lorsque;effrayer vroum;volontiers badaboum ouin;2064
8;près de jeune;rallier plouf en face de;bè peu;envers;15144
9;après que sans que;depuis;franco;crac;29858
10;du côté de aussitôt que;badaboum entièrement;fade;dynamique envahir;12540
